developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
IFS693,,20/00633/STVAR,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=Q69J89BJFMH00,local-authority-eng:ERY,2020-12-31,2019-11-26,,/developer-agreement/local-authority-eng/ERY/IFS693
IFS677,,18/03678/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PHXJCTBJGBD00,local-authority-eng:ERY,2020-12-31,2019-11-03,,/developer-agreement/local-authority-eng/ERY/IFS677
IFS664,,19/00112/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PL5Q9ABJKSY00,local-authority-eng:ERY,2020-12-31,2019-10-25,,/developer-agreement/local-authority-eng/ERY/IFS664
IFS666,,19/00373/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PM7CWRBJMHA00,local-authority-eng:ERY,2020-12-31,2019-10-26,,/developer-agreement/local-authority-eng/ERY/IFS666
IFS680,,19/02072/STPLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PTAWZLBJHSA00,local-authority-eng:ERY,2020-12-31,2019-11-07,,/developer-agreement/local-authority-eng/ERY/IFS680
IFS687,,19/01555/STPLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PR8O0KBJMBK00,local-authority-eng:ERY,2020-12-31,2019-11-14,,/developer-agreement/local-authority-eng/ERY/IFS687
IFS222,,05/08430/STPLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=IQRUGPBJDD000,local-authority-eng:ERY,2020-12-31,2019-10-18,,/developer-agreement/local-authority-eng/ERY/IFS222
IFS202,,04/06401/STREM,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=I2JNXWBJNA000,local-authority-eng:ERY,2020-12-31,2019-10-17,,/developer-agreement/local-authority-eng/ERY/IFS202
IFS678,,19/00557/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PN43O4BJG1000,local-authority-eng:ERY,2020-12-31,2019-11-05,,/developer-agreement/local-authority-eng/ERY/IFS678
IFS689,,19/01594/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PRG8QSBJMKJ00,local-authority-eng:ERY,2020-12-31,2019-11-16,,/developer-agreement/local-authority-eng/ERY/IFS689
IFS682,,18/01992/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PAKCQ1BJ0KG00,local-authority-eng:ERY,2020-12-31,2019-11-09,,/developer-agreement/local-authority-eng/ERY/IFS682
