developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
16/00274/S106/1,15000,,other,16/00274/S106,local-authority-eng:NTY,2016-03-11,2016-03-11,,/developer-agreement-contribution/local-authority-eng/NTY/16-00274-S106-1
16/00273/S106/4,91449,,highways,16/00273/S106,local-authority-eng:NTY,2016-02-12,2016-02-12,,/developer-agreement-contribution/local-authority-eng/NTY/16-00273-S106-4
16/00273/S106/3,20000,,green-infrastructure,16/00273/S106,local-authority-eng:NTY,2016-02-12,2016-02-12,,/developer-agreement-contribution/local-authority-eng/NTY/16-00273-S106-3
16/00273/S106/2,50000,,transport-and-travel,16/00273/S106,local-authority-eng:NTY,2016-02-12,2016-02-12,,/developer-agreement-contribution/local-authority-eng/NTY/16-00273-S106-2
16/00273/S106/1,0,,transport-and-travel,16/00273/S106,local-authority-eng:NTY,2016-02-12,2016-02-12,,/developer-agreement-contribution/local-authority-eng/NTY/16-00273-S106-1
15/01088/S106/3,3724,,green-infrastructure,15/01088/S106,local-authority-eng:NTY,2015-07-02,2015-07-02,,/developer-agreement-contribution/local-authority-eng/NTY/15-01088-S106-3
15/01088/S106/2,8960,,green-infrastructure,15/01088/S106,local-authority-eng:NTY,2015-07-02,2015-07-02,,/developer-agreement-contribution/local-authority-eng/NTY/15-01088-S106-2
15/01088/S106/1,10808,,open-space-and-leisure,15/01088/S106,local-authority-eng:NTY,2015-07-02,2015-07-02,,/developer-agreement-contribution/local-authority-eng/NTY/15-01088-S106-1
14/01905/S106/4,3206,,open-space-and-leisure,14/01905/S106,local-authority-eng:NTY,2015-07-20,2015-07-20,,/developer-agreement-contribution/local-authority-eng/NTY/14-01905-S106-4
14/01905/S106/3,1365,,green-infrastructure,14/01905/S106,local-authority-eng:NTY,2015-07-20,2015-07-20,,/developer-agreement-contribution/local-authority-eng/NTY/14-01905-S106-3
