developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
20161816ED,10113,,education,20161816-da,local-authority-eng:NLN,2020-10-29,2017-01-23,,/developer-agreement-contribution/local-authority-eng/NLN/20161816ED
20161993AH,11033.52,,affordable-housing,20161993-da,local-authority-eng:NLN,2020-10-29,2017-02-01,,/developer-agreement-contribution/local-authority-eng/NLN/20161993AH
20162009AH,,3,affordable-housing,20162009-da,local-authority-eng:NLN,2020-10-30,2017-07-28,,/developer-agreement-contribution/local-authority-eng/NLN/20162009AH
20162009OP,,1,open-space-and-leisure,20162009-da,local-authority-eng:NLN,2020-10-30,2017-07-28,,/developer-agreement-contribution/local-authority-eng/NLN/20162009OP
20162009REC,33410,,open-space-and-leisure,20162009-da,local-authority-eng:NLN,2020-10-30,2017-07-28,,/developer-agreement-contribution/local-authority-eng/NLN/20162009REC
20170233AH,,2,affordable-housing,20170233-da,local-authority-eng:NLN,2020-10-30,2017-05-22,,/developer-agreement-contribution/local-authority-eng/NLN/20170233AH
20170233REC1,6331.99,,open-space-and-leisure,20170233-da,local-authority-eng:NLN,2020-10-30,2017-05-22,,/developer-agreement-contribution/local-authority-eng/NLN/20170233REC1
20170233REC2,6332,,open-space-and-leisure,20170233-da,local-authority-eng:NLN,2020-10-30,2022-05-22,,/developer-agreement-contribution/local-authority-eng/NLN/20170233REC2
20170389ED1,82200.3,,education,20170389-da,local-authority-eng:NLN,2020-10-30,2018-03-29,,/developer-agreement-contribution/local-authority-eng/NLN/20170389ED1
20170389ED2,82200.3,,education,20170389-da,local-authority-eng:NLN,2020-10-30,2018-03-29,,/developer-agreement-contribution/local-authority-eng/NLN/20170389ED2
20170389ED3,109600.4,,education,20170389-da,local-authority-eng:NLN,2020-10-30,2018-03-29,,/developer-agreement-contribution/local-authority-eng/NLN/20170389ED3
20170389OS,,1,open-space-and-leisure,20170389-da,local-authority-eng:NLN,2020-10-30,2018-03-29,,/developer-agreement-contribution/local-authority-eng/NLN/20170389OS
20170389MF,1404,,monitoring-fees,20170389-da,local-authority-eng:NLN,2020-10-30,2018-03-29,,/developer-agreement-contribution/local-authority-eng/NLN/20170389MF
20170464AH,52639,,affordable-housing,20170464-da,local-authority-eng:NLN,2020-10-30,2018-05-02,,/developer-agreement-contribution/local-authority-eng/NLN/20170464AH
20170464REC,7719.38,,open-space-and-leisure,20170464-da,local-authority-eng:NLN,2020-10-30,2018-05-02,,/developer-agreement-contribution/local-authority-eng/NLN/20170464REC
20170511AH,,16,affordable-housing,20170511-da,local-authority-eng:NLN,2020-10-30,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20170511AH
20170511REC,7171.94,,open-space-and-leisure,20170511-da,local-authority-eng:NLN,2020-10-30,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20170511REC
20170674AH,,2,affordable-housing,20170674-da,local-authority-eng:NLN,2020-10-30,2019-09-04,,/developer-agreement-contribution/local-authority-eng/NLN/20170674AH
20170674OS,,1,open-space-and-leisure,20170674-da,local-authority-eng:NLN,2020-10-30,2019-09-04,,/developer-agreement-contribution/local-authority-eng/NLN/20170674OS
20170767ED1,29808.9,,education,20170767-da,local-authority-eng:NLN,2020-10-30,2017-10-24,,/developer-agreement-contribution/local-authority-eng/NLN/20170767ED1
20170767ED2,29808.9,,education,20170767-da,local-authority-eng:NLN,2020-10-30,2017-10-24,,/developer-agreement-contribution/local-authority-eng/NLN/20170767ED2
20170767ED3,39745.2,,education,20170767-da,local-authority-eng:NLN,2020-10-30,2017-10-24,,/developer-agreement-contribution/local-authority-eng/NLN/20170767ED3
20170767REC,46967.35,,open-space-and-leisure,20170767-da,local-authority-eng:NLN,2020-10-30,2917-10-24,,/developer-agreement-contribution/local-authority-eng/NLN/20170767REC
20171199ED1,245676.6,,education,20171199-da,local-authority-eng:NLN,2020-10-30,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199ED1
20171199ED2,245676.6,,education,20171199-da,local-authority-eng:NLN,2020-10-30,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199ED2
20171199ED3,327568.8,,education,20171199-da,local-authority-eng:NLN,2020-10-30,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199ED3
20171199REC,254430,,open-space-and-leisure,20171199-da,local-authority-eng:NLN,2020-10-30,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199REC
20171199OS,,1,open-space-and-leisure,20171199-da,local-authority-eng:NLN,2020-10-30,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199OS
20171199TRO,3000,,highways,20171199-da,local-authority-eng:NLN,2020-10-31,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199TRO
20171199HEA,100000,,health,20171199-da,local-authority-eng:NLN,2020-10-31,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199HEA
20171199AH1,5,,affordable-housing,20171199-da,local-authority-eng:NLN,2020-10-31,2018-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199AH1
20171199AH2,5,,affordable-housing,20171199-da,local-authority-eng:NLN,2020-10-31,2013-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199AH2
20171199AH3,5,,affordable-housing,20171199-da,local-authority-eng:NLN,2020-10-31,2013-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199AH3
20171199AH4,5,,affordable-housing,20171199-da,local-authority-eng:NLN,2020-10-31,2013-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199AH4
20171199AH5,5,,affordable-housing,20171199-da,local-authority-eng:NLN,2020-10-31,2013-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199AH5
20171199AH6,5,,affordable-housing,20171199-da,local-authority-eng:NLN,2020-10-31,2013-08-13,,/developer-agreement-contribution/local-authority-eng/NLN/20171199AH6
20171234ED1,102154.2,,education,20171234-da,local-authority-eng:NLN,2020-10-29,2018-08-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171234ED1
