developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
18/01264/CILADMIN3,,,secured,18/01264/CILADMIN,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-CILADMIN3
18/01264/NEIGHBOURHOOD1,,,secured,18/01264/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD1
18/01264/NEIGHBOURHOOD2,,,secured,18/01264/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD2
18/01264/NEIGHBOURHOOD3,,,secured,18/01264/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD3
18/01264/IDP1,,,secured,18/01264/IDP,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-IDP1
18/01264/IDP2,,,secured,18/01264/IDP,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-IDP2
18/01264/IDP3,,,secured,18/01264/IDP,local-authority-eng:EPS,2020-03-12,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01264-IDP3
19/00577/CILADMIN1,,,secured,19/00577/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-CILADMIN1
19/00577/CILADMIN2,,,secured,19/00577/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-CILADMIN2
19/00577/NEIGHBOURHOOD1,,,secured,19/00577/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-NEIGHBOURHOOD1
19/00577/NEIGHBOURHOOD2,,,secured,19/00577/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-NEIGHBOURHOOD2
19/00577/IDP1,,,secured,19/00577/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-IDP1
19/00577/IDP2,,,secured,19/00577/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00577-IDP2
19/01079/CILADMIN1,0,,received,19/01079/CILADMIN,local-authority-eng:EPS,2020-03-16,2020-02-03,,/developer-agreement-transaction/local-authority-eng/EPS/19-01079-CILADMIN1
19/01079/NEIGHBOURHOOD1,0,,received,19/01079/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,2020-02-03,,/developer-agreement-transaction/local-authority-eng/EPS/19-01079-NEIGHBOURHOOD1
19/01079/IDP1,0,,received,19/01079/IDP,local-authority-eng:EPS,2020-03-16,2020-02-03,,/developer-agreement-transaction/local-authority-eng/EPS/19-01079-IDP1
19/01382/CILADMIN1,0,,received,19/01382/CILADMIN,local-authority-eng:EPS,2020-03-16,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-01382-CILADMIN1
19/01382/NEIGHBOURHOOD1,0,,received,19/01382/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-01382-NEIGHBOURHOOD1
19/01382/IDP1,0,,received,19/01382/IDP,local-authority-eng:EPS,2020-03-16,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-01382-IDP1
18/01298/CILADMIN1,,,secured,18/01298/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-CILADMIN1
18/01298/CILADMIN2,,,secured,18/01298/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-CILADMIN2
18/01298/NEIGHBOURHOOD1,,,secured,18/01298/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-NEIGHBOURHOOD1
18/01298/NEIGHBOURHOOD2,,,secured,18/01298/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-NEIGHBOURHOOD2
18/01298/IDP1,,,secured,18/01298/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-IDP1
18/01298/IDP2,,,secured,18/01298/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01298-IDP2
19/00696/CILADMIN1,,,secured,19/00696/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-CILADMIN1
19/00696/CILADMIN2,,,secured,19/00696/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-CILADMIN2
19/00696/CILADMIN3,,,secured,19/00696/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-CILADMIN3
19/00696/NEIGHBOURHOOD1,,,secured,19/00696/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-NEIGHBOURHOOD1
19/00696/NEIGHBOURHOOD2,,,secured,19/00696/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-NEIGHBOURHOOD2
19/00696/NEIGHBOURHOOD3,,,secured,19/00696/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-NEIGHBOURHOOD3
19/00696/IDP1,,,secured,19/00696/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-IDP1
19/00696/IDP2,,,secured,19/00696/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-IDP2
19/00696/IDP3,,,secured,19/00696/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/19-00696-IDP3
19/00062/CILADMIN1,0,,received,19/00062/CILADMIN,local-authority-eng:EPS,2020-03-16,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-00062-CILADMIN1
19/00062/NEIGHBOURHOOD1,0,,received,19/00062/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-00062-NEIGHBOURHOOD1
19/00062/IDP1,0,,received,19/00062/IDP,local-authority-eng:EPS,2020-03-16,2020-02-25,,/developer-agreement-transaction/local-authority-eng/EPS/19-00062-IDP1
19/01592/CILADMIN1,0,,received,19/01592/CILADMIN,local-authority-eng:EPS,2020-03-16,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/19-01592-CILADMIN1
19/01592/NEIGHBOURHOOD1,0,,received,19/01592/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/19-01592-NEIGHBOURHOOD1
19/01592/IDP1,0,,received,19/01592/IDP,local-authority-eng:EPS,2020-03-16,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/19-01592-IDP1
18/01559/CILADMIN1,,,secured,18/01559/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-CILADMIN1
18/01559/CILADMIN2,,,secured,18/01559/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-CILADMIN2
18/01559/CILADMIN3,,,secured,18/01559/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-CILADMIN3
18/01559/NEIGHBOURHOOD1,,,secured,18/01559/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-NEIGHBOURHOOD1
18/01559/NEIGHBOURHOOD2,,,secured,18/01559/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-NEIGHBOURHOOD2
18/01559/NEIGHBOURHOOD3,,,secured,18/01559/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-NEIGHBOURHOOD3
18/01559/IDP1,,,secured,18/01559/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-IDP1
18/01559/IDP2,,,secured,18/01559/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-IDP2
18/01559/IDP3,,,secured,18/01559/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01559-IDP3
18/01360/CILADMIN1,,,secured,18/01360/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-CILADMIN1
18/01360/CILADMIN2,,,secured,18/01360/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-CILADMIN2
18/01360/CILADMIN3,,,secured,18/01360/CILADMIN,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-CILADMIN3
18/01360/NEIGHBOURHOOD1,,,secured,18/01360/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-NEIGHBOURHOOD1
18/01360/NEIGHBOURHOOD2,,,secured,18/01360/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-NEIGHBOURHOOD2
18/01360/NEIGHBOURHOOD3,,,secured,18/01360/NEIGHBOURHOOD,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-NEIGHBOURHOOD3
18/01360/IDP1,,,secured,18/01360/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-IDP1
18/01360/IDP2,,,secured,18/01360/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-IDP2
18/01360/IDP3,,,secured,18/01360/IDP,local-authority-eng:EPS,2020-03-16,,,/developer-agreement-transaction/local-authority-eng/EPS/18-01360-IDP3
